subject,body,Model,Q1,Q2,Q3,Q4,Human
Re: Urgent Wire Processing,"Hi Jennifer, Can you please prioritize processing the wire transfer we discussed? Let me know once it's been sent. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you please process a wire transfer urgently? Let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our conversation, I have completed negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly confirm once it has been initiated. Thank you, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Processing Request,"Hi Jennifer, Can you please process a wire transfer urgently for me? Let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
cell phone number,"Hello Dakota, Kindly re-confirm your cell phone number, I need a task done as soon as possible and look forward to my next email. Thanks",positive,1,1,1,1,positive
Confirmation of Your Cell Number,"Hello Dakota, could you please confirm your cell number? I have an urgent task that needs to be completed as soon as possible. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Re-confirm cell #,"Hello Dakota, Can you please double-check your cell #? I have an urgent task that needs to be done promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Verify Cell Number,"Hello Dakota, Can you please confirm your cell number? I have an urgent task that needs to be completed quickly. I am looking forward to your response. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, I hope this email finds you well. Could you please provide me with your current cell number? I have an urgent task that needs to be completed and I look forward to your prompt response. Thank you.",positive,1,1,1,1,positive
Urgent: Invoice from Vendor,"Sue, Urgent matter, I need your assistance with a pending invoice from our Vendor. I have requested a copy of the invoice via email. Can you handle this before the end of the day? I appreciate your help. Robert",positive,1,1,1,1,positive
Urgent: Invoice from Vendor Needs Attention,"Hi Sue, Do you have a moment to help me out? I'm currently in a meeting and we have a pending invoice from our Vendor that needs to be taken care of. I've requested them to email me a copy of the invoice. I would greatly appreciate it if you could handle this before the end of the banking transactions today. I won't be able to take calls at the moment, so please communicate via email. Thanks, Robert",positive,1,1,1,1,positive
Urgent: Action Required - Pending Invoice from Vendor,"Sue, I hope this email finds you well. I urgently need your assistance with a pending invoice from our Vendor. I am currently in a meeting and unable to attend to it myself. The Vendor has been notified to send a copy of the invoice to my email. Your prompt attention to this matter before the end of today's banking transactions would be greatly appreciated. Due to my current unavailability, kindly communicate via email. Thank you for your support. Robert",positive,1,1,1,1,positive
Urgent: Requesting Immediate Attention,"Sue, I hope you are doing well. I urgently need your assistance with a pending invoice from our Vendor. I am currently in a meeting and unable to make calls, so it would be greatly appreciated if you could handle this matter before the end of the day. I have requested the Vendor to email me a copy of the invoice. Thank you for your prompt attention to this matter. Kind regards, Robert",positive,1,1,1,1,positive
Urgent: Request for Immediate Action,"Sue, Urgent! Do you have a moment? I am currently in a meeting and there is an important task that requires your attention. We have an outstanding invoice from our Vendor. I have requested them to send me a copy of the invoice via email. It would be greatly appreciated if you could handle this matter before the end of the banking day. I am unable to take any calls at the moment, so please communicate via email. Thank you, Robert",positive,1,1,1,1,positive
Urgent: Fund Transfer Request,"Hi Alvin, I urgently require your assistance in processing a fund transfer into the bank details provided below: Amount: $28,850 Bank Name: Wells Fargo Account Name: Alfred Pinto Account Number: 113452291972 Swift Code: WFBIUS6S Routing Number: 121042882 Bank Address: Wells Fargo, 420 Montgomery Street, San Francisco, CA 94104 Please ensure to send me an electronic wire report confirmation once the transfer has been successfully completed. Thank you for your prompt attention to this matter. Best regards, Dave",positive,1,1,1,1,positive
Urgent: Fund Transfer Request,"Hi Alvin, I urgently need you to process a fund transfer into the bank details provided below: Amount: $28,850 Bank name: Wells Fargo Account name: Alfred Pinto Account number: 113452291972 Swift code: WFBIUS6S Routing number: 121042882 Bank address: Wells Fargo, 420 Montgomery Street, San Francisco, CA 94104 Please ensure to send me an electronic wire report confirmation once the transfer is completed. Thank you for your prompt attention to this matter. Regards, Dave",positive,1,1,1,1,positive
Urgent Request,"Hi Alvin, I urgently need your assistance in processing a fund transfer into the following bank details: Amount: $28,850 Bank name: Wells Fargo Account name: Alfred Pinto Account number: 113452291972 Swift code: WFBIUS6S Route number: 121042882 Bank address: Wells Fargo, 420 Montgomery Street, San Francisco, CA 94104 Please provide an electronic wire report confirmation once the transfer has been completed. Thank you for your prompt attention to this matter. Regards, Dave",positive,1,1,1,1,positive
Urgent: Fund Transfer Request,"Hi Alvin, I urgently require your assistance in processing a fund transfer into the bank details provided below: Amount: $28,850 Bank name: Wells Fargo Account name: Alfred Pinto Account number: 113452291972 Swift code: WFBIUS6S Routing number: 121042882 Bank address: Wells Fargo, 420 Montgomery Street, San Francisco, CA 94104 Please ensure to send an electronic wire report confirmation once the transfer is completed. Thank you for your prompt attention to this matter. Warm regards, Dave",positive,1,1,1,1,positive
Urgent: Fund Transfer Request,"Hi Alvin, I urgently need you to process a fund transfer into the bank detail below: Amount: $28,850 Bank name: Wells Fargo Account name: Alfred Pinto Account num: 113452291972 Swift code: WFBIUS6S Route num: 121042882 Bank address: Wells Fargo, 420 Montgomery Street, San Francisco, CA 94104 Please prioritize this request and provide an electronic wire report confirmation once completed. Thank you. Regards Dave",positive,1,1,1,1,positive
